unitid,institution name,year,institution name,IC2021.Open admission policy,IC2021.Institutional control or affiliation,IC2021.Religious affiliation,IC2021mission.Mission statement,IC2021mission.Mission statement URL (if mission statement not provided),HD2021.Institution size category,HD2021.State abbreviation,HD2021.FIPS state code,HD2021.Sector of institution,HD2021.Level of institution,HD2021.Control of institution,HD2021.Degree-granting status,HD2021.Historically Black College or University,HD2021.Tribal college,HD2021.Land Grant Institution,HD2021.Degree of urbanization (Urban-centric locale),HD2021.Institutional category,HD2021.Carnegie Classification 2021: Basic,,,,,,,,,,,,,,
100858,Auburn University,2021,Auburn University,No,Public,Not applicable,,https://www.auburn.edu/main/welcome/visionandmission.php,"20,000 and above",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
100937,Birmingham-Southern College,2021,Birmingham-Southern College,No,Private not-for-profit (religious affiliation),United Methodist,"Birmingham-Southern College prepares men and women for lives of significance. The College fosters intellectual and personal development through excellence in teaching and scholarship and by challenging students to engage their community and the greater world, to examine diverse perspectives, and to live with integrity. A residential, baccalaureate liberal arts institution, Birmingham-Southern College honors its Methodist heritage of informed inquiry and meaningful service.",,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
101028,Chattahoochee Valley Community College,2021,Chattahoochee Valley Community College,Yes,Public,Not applicable,Chattahoochee Valley Community College promotes student success and is committed to enriching our community by offering accessible quality and engaging educational opportunities through academic transfer career and technical education workforce development and adult education.,,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,,,,,,,,,,,,,,
101116,South University-Montgomery,2021,South University-Montgomery,Yes,Private for-profit,Not applicable,,https://www.southuniversity.edu/whoweare/about/mission-statement,"Under 1,000",Alabama,Alabama,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
101143,Enterprise State Community College,2021,Enterprise State Community College,Yes,Public,Not applicable,"The mission of Enterprise State Community College, including the Alabama Aviation College, is to improve our communities by providing students with excellent opportunities to further their education and enter the workforce.",,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101161,Coastal Alabama Community College,2021,Coastal Alabama Community College,Yes,Public,Not applicable,,www.coastalalabama.edu/about/goals-and-values/,"5,000 - 9,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,,,,,,,,,,,,,,
101189,Faulkner University,2021,Faulkner University,No,Private not-for-profit (religious affiliation),Churches of Christ,,www.faulkner.edu/about-faulkner/mission-and-values/,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
101240,Gadsden State Community College,2021,Gadsden State Community College,Yes,Public,Not applicable,"Gadsden State Community College prepares students from all backgrounds for success through quality education, innovative workforce development, and inclusive community and global engagement.",,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
101277,New Beginning College of Cosmetology,2021,New Beginning College of Cosmetology,Yes,Private for-profit,Not applicable,The mission of New Beginning College of Cosmetology is to empower and train students to become licensed and successful in the field of Cosmetology Arts and Science.,,"Under 1,000",Alabama,Alabama,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Town: Distant,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
101286,George C Wallace Community College-Dothan,2021,George C Wallace Community College-Dothan,Yes,Public,Not applicable,,www.wallace.edu/about/mission-and-more/,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
101295,George C Wallace State Community College-Hanceville,2021,George C Wallace State Community College-Hanceville,Yes,Public,Not applicable,,www.wallacestate.edu/about-wscc,"5,000 - 9,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
101301,George C Wallace State Community College-Selma,2021,George C Wallace State Community College-Selma,Yes,Public,Not applicable,,https://www.wccs.edu/about/mission-goals,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101365,Herzing University-Birmingham,2021,Herzing University-Birmingham,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.herzing.edu/about/mission,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Special Focus Four-Year: Other Health Professions Schools,,,,,,,,,,,,,,
101435,Huntingdon College,2021,Huntingdon College,No,Private not-for-profit (religious affiliation),United Methodist,"Huntingdon College, through the use of traditional and non-traditional teaching and learning environments, provides a foundational education in the liberal arts disciplines and professional academic studies across multiple degree levels for students from diverse backgrounds.",,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
101453,Heritage Christian University,2021,Heritage Christian University,Yes,Private not-for-profit (religious affiliation),Churches of Christ,"Heritage Christian University exists for the advancement of churches of Christ by equipping servants through undergraduate and graduate programs and continuing education. HCU produces effective communicators, preachers, teachers and missionaries for real-world ministry with a focus on evangelism and a commitment to scripture.",,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
101462,J. F. Drake State Community and Technical College,2021,J. F. Drake State Community and Technical College,Yes,Public,Not applicable,"Drake State Community and Technical College offers flexible, affordable university-transfer and technical degrees, certificates, adult and continuing education, and customized skills training to fulfill the diverse workforce need of employers.",,"Under 1,000",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101471,J F Ingram State Technical College,2021,J F Ingram State Technical College,Yes,Public,Not applicable,,istc.edu/about/,"Under 1,000",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, associate's and certificates","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
101480,Jacksonville State University,2021,Jacksonville State University,No,Public,Not applicable,,www.jsu.edu/president/strategic_planning.html,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
101505,Jefferson State Community College,2021,Jefferson State Community College,Yes,Public,Not applicable,,www.jeffersonstate.edu/about-jscc-2/mission-statement/,"5,000 - 9,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101514,John C Calhoun State Community College,2021,John C Calhoun State Community College,Yes,Public,Not applicable,,https://calhoun.edu/welcome-to-calhoun/#mission,"5,000 - 9,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101569,Lawson State Community College,2021,Lawson State Community College,Yes,Public,Not applicable,,www.lawsonstate.edu/discover_lscc/mission_values_goalsindicators.aspx,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,,,,,,,,,,,,,,
101587,University of West Alabama,2021,University of West Alabama,No,Public,Not applicable,,www.uwa.edu/about/strategicplan,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Remote,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
101602,Lurleen B Wallace Community College,2021,Lurleen B Wallace Community College,Yes,Public,Not applicable,,www.lbwcc.edu/about-lbwcc/college-mission,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101648,Marion Military Institute,2021,Marion Military Institute,No,Public,Not applicable,,https://marionmilitary.edu/about-mmi/mission/,"Under 1,000",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Remote,"Degree-granting, associate's and certificates",Associate's Colleges: High Transfer-High Traditional,,,,,,,,,,,,,,
101675,Miles College,2021,Miles College,Yes,Private not-for-profit (religious affiliation),Christian Methodist Episcopal,"Miles College is a senior, private, liberal arts Historically Black College with roots in the Christian Methodist Episcopal Church. The College through dedicated faculty cultivates students to seek knowledge that leads to intellectual and civic empowerment. Students are transformed through rigorous study, scholarly inquiry, and spiritual awareness, thereby enabling graduates to become responsible citizens who help shape the global society.",,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
101693,University of Mobile,2021,University of Mobile,No,Private not-for-profit (religious affiliation),Southern Baptist,,https://umobile.edu/mission/,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Small Programs,,,,,,,,,,,,,,
101709,University of Montevallo,2021,University of Montevallo,No,Public,Not applicable,,https://www.montevallo.edu/about-um/,"1,000 - 4,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
101736,Northwest-Shoals Community College,2021,Northwest-Shoals Community College,Yes,Public,Not applicable,,https://www.nwscc.edu/about-nw-scc/at-a-glance,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101879,University of North Alabama,2021,University of North Alabama,No,Public,Not applicable,,https://www.una.edu/strategic-plan/index.html,"5,000 - 9,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
101897,Northeast Alabama Community College,2021,Northeast Alabama Community College,Yes,Public,Not applicable,,https://www.nacc.edu/content/uploads/nacc.edu/files/oipa/mission/mission%20statement%20and%20goals_042318.pdf,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
101912,Oakwood University,2021,Oakwood University,No,Private not-for-profit (religious affiliation),Seventh Day Adventist,,www2.oakwood.edu/our-story/mission-history/,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
101994,Reid State Technical College,2021,Reid State Technical College,Yes,Public,Not applicable,,www.rstc.edu,"Under 1,000",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
102030,Bishop State Community College,2021,Bishop State Community College,Yes,Public,Not applicable,,https://www.bishop.edu/about-us/vision-and-mission/,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
102049,Samford University,2021,Samford University,No,Private not-for-profit (religious affiliation),Baptist,,www.samford.edu/about/mission,"5,000 - 9,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Professional Universities,,,,,,,,,,,,,,
102058,Selma University,2021,Selma University,Yes,Private not-for-profit (religious affiliation),Baptist,,,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Not a Land Grant Institution,Town: Distant,Not reported,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
102067,Shelton State Community College,2021,Shelton State Community College,Yes,Public,Not applicable,,www.sheltonstate.edu/about-us/mission-vision-values-strategic-plan/,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
102076,Snead State Community College,2021,Snead State Community College,Yes,Public,Not applicable,,www.snead.edu/about_us.aspx,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: High Transfer-High Nontraditional,,,,,,,,,,,,,,
102094,University of South Alabama,2021,University of South Alabama,No,Public,Not applicable,,https://www.southalabama.edu/bulletin/current/general-info/mission.html,"10,000 - 19,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
102234,Spring Hill College,2021,Spring Hill College,No,Private not-for-profit (religious affiliation),Roman Catholic,,www.shc.edu/about/mission,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
102270,Stillman College,2021,Stillman College,No,Private not-for-profit (religious affiliation),Presbyterian Church (USA),,https://stillman.edu/about-us/stillman-at-a-glance/,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
102298,Talladega College,2021,Talladega College,Yes,Private not-for-profit (religious affiliation),United Church of Christ,,www.talladega.edu/our-mission/,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
102313,H Councill Trenholm State Community College,2021,H Councill Trenholm State Community College,Yes,Public,Not applicable,"Trenholm State Community College's mission is to provide comprehensive and accessible educational opportunities, including academic transfer and technical programs, designed to promote economic development, enhance workforce development, and improve the quality of life for the community.",,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Yes,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Traditional,,,,,,,,,,,,,,
102368,Troy University,2021,Troy University,No,Public,Not applicable,,https://www.troy.edu/about-us/fast-facts/index.html,"10,000 - 19,999",Alabama,Alabama,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
102377,Tuskegee University,2021,Tuskegee University,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.tuskegee.edu/about-us/history-and-mission,"1,000 - 4,999",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Yes,No,Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
102395,United States Sports Academy,2021,United States Sports Academy,No,Private not-for-profit (no religious affiliation),Not applicable,,https://ussa.edu/about/mission-values/,"Under 1,000",Alabama,Alabama,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Other Special Focus Institutions,,,,,,,,,,,,,,
102429,Bevill State Community College,2021,Bevill State Community College,Yes,Public,Not applicable,,bscc.edu/about/mission-vision-values,"1,000 - 4,999",Alabama,Alabama,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
102553,University of Alaska Anchorage,2021,University of Alaska Anchorage,No,Public,Not applicable,"The University of Alaska Anchorage (UAA) transforms lives through teaching, research, community engagement and creative expression in a diverse and inclusive environment. Serving students, the state, and the communities of Southcentral Alaska, UAA is a comprehensive, open access, public university established on the ancestral lands of the Dena’ina, Ahtna Dene, Alutiiq/Sugpiaq, Chugachmiut, and Eyak peoples.",,"10,000 - 19,999",Alaska,Alaska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
102580,Alaska Bible College,2021,Alaska Bible College,Yes,Private not-for-profit (religious affiliation),Undenominational,The purpose of Alaska Bible College is to exalt the Lord Jesus Christ and extend His Church by biblically training believers to be servant-leaders with Christ-like character.,,"Under 1,000",Alaska,Alaska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
102614,University of Alaska Fairbanks,2021,University of Alaska Fairbanks,No,Public,Not applicable,,https://www.uaf.edu/uaf/about/mission/,"5,000 - 9,999",Alaska,Alaska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Land Grant Institution,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
102632,University of Alaska Southeast,2021,University of Alaska Southeast,No,Public,Not applicable,,https://www.uas.alaska.edu/chancellor/mission.html,"1,000 - 4,999",Alaska,Alaska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
102669,Alaska Pacific University,2021,Alaska Pacific University,No,Private not-for-profit (religious affiliation),United Methodist,,https://www.alaskapacific.edu/history/,"Under 1,000",Alaska,Alaska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
102711,Alaska Vocational Technical Center,2021,Alaska Vocational Technical Center,Yes,Public,Not applicable,,https://avtec.edu/index.php/vision-mission-and-values,"Under 1,000",Alaska,Alaska,"Public, less-than 2-year",Less than 2 years (below associate),Public,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Rural: Remote,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
